Title,Genre,Info,Year,MPAA_Rating,Violence,viol_strong,viol_mild,viol_non,Exp_Violence
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,PG-13 for action/adventure violence,2003,PG13,5,FALSE,TRUE,FALSE,5.85182658370629
The Lord of the Rings: The Return of the King,Adventure,PG-13 for intense epic battle sequences and frightening images,2003,PG13,7,FALSE,TRUE,FALSE,5.85182658370629
The Matrix Reloaded,Action,R for sci-fi violence and some sexuality,2002,R,7,FALSE,TRUE,FALSE,7.98886584434014
Bruce Almighty,Comedy,"PG-13 for language, sexual content and some crude humor",2003,PG13,3,FALSE,FALSE,TRUE,3.93248553651348
X2,Action,"PG-13 for sci-fi action/violence, some sexuality and brief language",2003,PG13,5,FALSE,TRUE,FALSE,6.00556707782993
Elf,Comedy,PG for some mild rude humor and language,2003,PG,3,FALSE,FALSE,TRUE,2.31216570243423
Chicago,Musical,"PG-13 for sexual content and dialogue, violence and thematic elements",2002,PG13,4,FALSE,FALSE,TRUE,4
Terminator 3: Rise of the Machines,Action,"R for strong sci-fi violence and action, and for language and brief nudity",2003,R,8,TRUE,FALSE,FALSE,7.98886584434014
Bad Boys II,Action,"R for strong violence and action, pervasive language, sexuality and drug content",2003,R,9,TRUE,FALSE,FALSE,7.98886584434014
Shrek 2,Adventure,"PG for some crude humor, a brief substance reference and some suggestive content",2004,PG,3,FALSE,FALSE,TRUE,4.23150674962704
Spider-Man 2,Adventure,PG-13 for stylized action violence,2004,PG13,6,FALSE,TRUE,FALSE,5.85182658370629
The Passion of the Christ,Drama,R for sequences of graphic violence,2004,R,10,TRUE,FALSE,FALSE,7.24582469162755
The Incredibles,Adventure,PG for action violence,2004,PG,4,FALSE,FALSE,TRUE,4.23150674962704
Harry Potter and the Prisoner of Azkaban,Adventure,"PG for frightening moments, creature violence and mild language",2004,PG,5,FALSE,TRUE,FALSE,4.23150674962704
The Day After Tomorrow,Adventure,PG-13 for intense situations of peril,2004,PG13,6,FALSE,TRUE,FALSE,5.85182658370629
The Bourne Supremacy,Thriller/Suspense,"PG-13 for violence and intense action, and for brief language",2004,PG13,6,FALSE,TRUE,FALSE,5.8
Meet the Fockers,Comedy,"PG-13 for crude and sexual humor, language and a brief drug reference.",2004,PG13,4,FALSE,FALSE,TRUE,3.93248553651348
Shark Tale,Adventure,PG for mild language and crude humor,2004,PG,3,FALSE,FALSE,TRUE,4.23150674962704
National Treasure,Adventure,PG for action violence and some scary images,2004,PG,4,FALSE,FALSE,TRUE,4.23150674962704
